GMT-M1,GMT-M1,JH-V1 SK38,JH-V1 SK38,JH-V2,JH-V2,Niky,Niky,L-V1,L-V1,
116,15.44,116,13.88,116,17.75,116,18.56,,,
117,16.87,117,14.5,117,20.31,117,20.06,,,
118,18.19,118,15.38,118,20.87,118,17.94,,,
119,19.87,119,15.44,119,21.5,119,21.06,,,
120,23.62,120,16.12,120,22.25,120,25.12,,,
121,30.94,121,15.94,121,22,121,23.94,,,
122,34.88,122,16.87,122,22.69,122,19.5,,,
123,36.69,123,16.94,123,21.5,123,18.94,,,
124,20.5,124,16.31,124,20.87,124,18.31,,,
125,18.06,125,14.44,125,18.75,125,17.06,,,
126,14.69,126,11.81,126,13.25,126,12.38,,,
127,12.56,127,11.19,127,9.88,127,8.63,,,
128,10.19,128,10.13,128,8,128,8.06,,,
129,8.5,129,9.13,129,5.94,129,5.37,,,
130,7.19,130,8.31,130,4.37,130,4.81,,,
131,6.06,131,7.12,131,3.25,131,3.31,,,
132,5.25,132,6.69,132,2,132,2.31,,,
133,4.19,133,5.62,133,1.06,133,1.69,,,
134,3.44,134,4.31,134,0.31,134,0.69,,,
135,2.81,135,4.06,135,-0.69,135,0.44,,,
136,3.12,136,4.94,136,-0.44,136,0.62,,,
137,6,137,6.37,137,2.94,137,6.44,,,
138,10.69,138,10.75,138,14.69,138,10.44,,,
139,14.81,139,13.19,139,20.19,139,15.38,,,
140,18.19,140,14.19,140,22.94,140,22.62,,,
141,20.44,141,13.88,141,23.69,141,25.37,,,
142,21.44,142,13.44,142,25.12,142,27.12,,,
143,22.81,143,14.38,143,26.69,143,27.37,,,
144,27.06,144,14.44,144,25.37,144,27.44,,,
145,37.56,145,16.06,145,24.75,145,30.44,,,
146,43.88,146,13.69,146,25.56,146,22.12,,,
147,43.69,147,14,147,24.44,147,21.06,,,
148,23.56,148,13.31,148,24.44,148,20.87,,,
149,20.44,149,13.06,149,23.94,149,18.12,,,
150,17.5,150,12.56,150,17.56,150,13.94,,,
151,14,151,11.88,151,12,151,13.81,,,
152,11.75,152,11.19,152,9.25,152,10.44,,,
153,10.19,153,10.44,153,7.44,153,6.87,,,
154,8.63,154,9.06,154,5.69,154,5.12,,,
155,7.44,155,8.5,155,4.25,155,4.44,,,
156,6.31,156,7.06,156,2.87,156,3.06,,,
157,5.37,157,6.56,157,2,157,2.5,,,
158,4.31,158,5.56,158,1.19,158,1.75,,,
159,3.75,159,4.69,159,0.44,159,0.88,,,
160,4,160,4.94,160,0.62,160,1.06,,,
161,6.87,161,7.44,161,3.75,161,6.25,,,
162,11,162,11.31,162,15.75,162,12.63,,,
163,16.44,163,13.31,163,20.75,163,16.12,,,
164,19.75,164,15,164,23,164,22.69,,,
165,21.56,165,16.25,165,23.5,165,23.81,,,
166,21.62,166,17.69,166,25.12,166,25.19,,,
167,23.31,167,18.06,167,24.31,167,26.19,,,
168,26.75,168,16.25,168,24.44,168,27.12,,,
169,36.38,169,16.56,169,24.31,169,26.56,,,
170,40,170,15.94,170,24.25,170,23.25,,,
171,41.69,171,17.81,171,23.62,171,22.12,,,
172,24.06,172,16.5,172,23.31,172,21.19,172,23.44,0
173,20.94,173,14.94,173,23,173,19.44,173,22.94,1
174,18.19,174,13.44,174,18.87,174,17,174,22.12,2
175,16.06,175,12.88,175,16.25,175,15.06,175,21.62,3
176,14.63,176,12.5,176,15.25,176,14.75,176,23.81,4
177,12.38,177,12,177,10.69,177,10.13,177,24.25,5
178,10.63,178,10.63,178,8.13,178,7.81,178,24.37,6
179,9.13,179,9.75,179,6.62,179,6.94,179,23.94,7
180,7.75,180,8.19,180,5,180,6.94,180,23.69,8
181,7,181,7.25,181,4,181,7.37,181,23.5,9
182,6.44,182,7.06,182,3.5,182,9.69,182,23.31,10
183,7,183,7.87,183,3.12,183,8.06,183,23.31,11
184,7.5,184,10.38,184,4.44,184,10.06,184,23.31,12
185,9.88,185,11,185,7.37,185,11.81,185,24.19,13
186,15.06,186,13.19,186,16.87,186,15.38,186,25.62,14
187,18.56,187,14,187,20.62,187,17.44,187,26.75,15
188,21,188,14.38,188,22.25,188,22.37,188,27.5,16
