GMT-M1,GMT-M1,JH-V1 SK38,JH-V1 SK38,JH-V2,JH-V2,Niky,Niky,L-V1,L-V1,
,,481,11.38,,,,,481,9.94,309
,,482,12.31,,,,,482,11.56,310
,,483,12.19,,,,,483,11.25,311
,,484,11.88,,,,,484,10.56,312
,,485,11.81,,,,,485,10.38,313
,,486,11.31,,,,,486,9.88,314
,,487,10.81,,,,,487,8.94,315
,,488,10.44,,,,,488,7.94,316
,,489,10.19,,,,,489,8.25,317
,,490,10.06,,,,,490,8.13,318
,,491,9.88,,,,,491,7.37,319
,,492,9.81,,,,,492,7.31,320
,,493,9.5,,,,,493,6.94,321
,,494,9.44,,,,,494,6.81,322
,,495,9.31,,,,,495,6.44,323
,,496,8.31,,,,,496,5.37,324
,,497,8.19,,,,,497,4.87,325
,,498,9.69,,,,,498,7.56,326
,,499,11.06,,,,,499,9.75,327
,,500,11.44,,,,,500,10.06,328
,,501,11.81,,,,,501,11,329
,,502,13.06,,,,,502,12.94,330
,,503,13.88,,,,,503,14.44,331
,,504,14.75,,,,,504,15.81,332
,,505,14.56,,,,,505,13.75,333
,,506,12.31,,,,,506,12.13,334
,,507,13.56,,,,,507,12.13,335
,,508,13.69,,,,,508,12.13,336
,,509,12.75,,,,,509,12.13,337
,,510,12.31,,,,,510,11.38,338
,,511,11.31,,,,,511,9.81,339
,,512,10.63,,,,,512,7.94,340
,,513,10.06,,,,,513,6.5,341
,,514,8.5,,,,,514,4.44,342
,,515,7.31,,,,,515,2.94,343
,,516,6.19,,,,,516,2.56,344
,,517,5.81,,,,,517,1.5,345
,,518,4.87,,,,,518,0.94,346
,,519,4.31,,,,,519,0.44,347
,,520,3.75,,,,,520,-0.19,348
,,521,4.06,,,,,521,-0.06,349
,,522,5.69,,,,,522,2.87,350
,,523,8.06,,,,,523,5.62,351
,,524,10,,,,,524,8.69,352
,,525,12.38,,,,,525,12.19,353
,,526,13.88,,,,,526,14.94,354
,,527,15.06,,,,,527,16.19,355
,,528,14.63,,,,,528,14.88,356
,,529,15.5,,,,,529,14.75,357
,,530,14.44,,,,,530,13.31,358
,,531,17.37,,,,,531,13.75,359
,,532,20.87,,,,,532,19.87,360
,,533,21.44,,,,,533,18.62,361
,,534,22.94,,,,,534,22.25,362
